Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2015-01-02,0.48306557536125183,0.48666519496622945,0.47538642501330797,0.48306557536125183,113680000
2015-01-05,0.47490644454956055,0.48450538166147195,0.4727467015787579,0.4830655339429343,197952000
2015-01-06,0.4605080783367157,0.4761063045401471,0.4600281386364724,0.4756263648399038,197764000
2015-01-07,0.4593082070350647,0.4679472359217371,0.45786835935161824,0.4638676770209732,321808000
2015-01-08,0.47658631205558777,0.47946600788081734,0.4643476906193853,0.464587674807157,283780000
2015-01-09,0.4785061180591583,0.4821057379785279,0.4717868752213498,0.4782661624692062,209540000
2015-01-12,0.4725068211555481,0.4799459883228173,0.4681873056586502,0.47970600411470793,190732000
2015-01-13,0.471786767244339,0.485705189521384,0.46842716089784636,0.47610628155197393,236720000
2015-01-14,0.47370651364326477,0.4751463611571105,0.4655474540168052,0.46674731740934333,155260000
2015-01-15,0.4703468978404999,0.4799458047818981,0.47010691372416524,0.47706613842087847,188932000
2015-01-16,0.4789860248565674,0.4794659645817612,0.4681872237011776,0.46962707148376426,181512000
2015-01-20,0.4804258644580841,0.48498530607328644,0.47442651787080464,0.4823456233261683,140308000
2015-01-21,0.4871450960636139,0.4883449883118795,0.4744265357448577,0.4777861711045889,144780000
2015-01-22,0.4955440163612366,0.49698386372667636,0.4830654154794168,0.4881048240444623,159712000
2015-01-23,0.49698391556739807,0.497943794839819,0.4919444492626888,0.4960239790809775,120416000
2015-01-26,0.49482429027557373,0.4972240177715865,0.49170463880935544,0.49482429027557373,133240000
2015-01-27,0.4710668623447418,0.4876249954156574,0.47010695440334,0.48714502714145563,357948000
2015-01-28,0.46338772773742676,0.4787459978172852,0.4631477435928186,0.4768262104814276,272728000
2015-01-29,0.4746665358543396,0.47730621878954366,0.4614680067502926,0.463627778541285,235340000
2015-01-30,0.46074795722961426,0.4768261490653958,0.4600280621025186,0.47130677191333636,298200000
2015-02-02,0.4708268940448761,0.4727466813852541,0.4545087445621667,0.4636277129737104,259604000
2015-02-03,0.4825855791568756,0.48306554748117553,0.4717868067862117,0.47418653397969257,183468000
2015-02-04,0.4837854206562042,0.48930479834413815,0.479705861969252,0.481145738184237,181516000
2015-02-05,0.49170440435409546,0.49194435982507584,0.4837853016718505,0.4842652126138112,140448000
2015-02-06,0.48954492807388306,0.49698412429096067,0.4873851558933744,0.4912247318096042,210524000
